tc_id	model	rate	t_fall	t_rise	v_final	v_inter	GeneName	exp_id	TF
117	sigmoid	0.31032562255859375	NA	55.26115036010742	NA	0.6648245453834534	DAL1	1	ACA1
118	sigmoid	0.26723137497901917	NA	47.772586822509766	NA	0.7493370771408081	DAL2	1	ACA1
119	sigmoid	0.07777179032564163	NA	35.03302001953125	NA	-0.7705157995223999	DAN4	1	ACA1
120	sigmoid	0.14719407260417938	NA	31.90192413330078	NA	-0.6024911403656006	DCP1	1	ACA1
121	sigmoid	0.30818361043930054	NA	46.46371078491211	NA	1.1143569946289062	DCS2	1	ACA1
122	sigmoid	0.07224182039499283	NA	28.50247573852539	NA	2.1136844158172607	DDR2	1	ACA1
123	sigmoid	0.3213467299938202	NA	56.63178634643555	NA	-1.1056309938430786	DDR48	1	ACA1
124	sigmoid	0.1393725723028183	NA	39.36796188354492	NA	0.9909105896949768	DIA3	1	ACA1
125	sigmoid	0.18033091723918915	NA	48.724300384521484	NA	-1.4059284925460815	DIG2	1	ACA1
126	sigmoid	0.16167910397052765	NA	40.65665817260742	NA	-0.5371584892272949	DLD3	1	ACA1
127	sigmoid	0.30357828736305237	NA	54.805747985839844	NA	-0.5655902028083801	DNF2	1	ACA1
128	sigmoid	0.11060964316129684	NA	38.428714752197266	NA	-0.65814971923828125	DNF3	1	ACA1
129	sigmoid	0.22929029166698456	NA	41.035552978515625	NA	-0.8130204677581787	DPB2	1	ACA1
130	sigmoid	0.257863312959671	NA	43.82069396972656	NA	-0.7556841373443604	DRE2	1	ACA1
131	sigmoid	0.20143640041351318	NA	45.38661575317383	NA	1.2860404253005981	DSF1	1	ACA1
132	sigmoid	0.23146171867847443	NA	28.3164119720459	NA	-1.0869274139404297	DSF2	1	ACA1
133	sigmoid	0.12587575614452362	NA	41.83574676513672	NA	-0.8813099265098572	DUN1	1	ACA1
134	sigmoid	0.3017512857913971	NA	55.530208587646484	NA	-0.7503499984741211	DUO1	1	ACA1
135	sigmoid	0.20958267152309418	NA	32.64471435546875	NA	-0.9243953227996826	DUR1,2	1	ACA1
136	sigmoid	0.2904760241508484	NA	52.67349624633789	NA	0.6984711289405823	DUR3	1	ACA1
137	sigmoid	0.049330830574035645	NA	50.20848083496094	NA	0.7387075424194336	ECM15	1	ACA1
138	sigmoid	0.1138962060213089	NA	40.005157470703125	NA	-0.8226940035820007	ECM22	1	ACA1
